k,pca_var,init,n_init,silhouette,davies_bouldin,calinski_harabasz,inertia,stability_ari_mean,stability_ari_std
2,0.9,k-means++,20,0.295570427529028,1.5810672476660614,186.67495266443856,12396.032206215754,1.0,0.0
2,0.9,k-means++,50,0.295570427529028,1.5810672476660614,186.67495266443856,12396.032206215754,1.0,0.0
3,0.9,k-means++,20,0.29489510283330467,1.421295677171708,174.27929579567012,10647.882839061243,1.0,0.0
3,0.9,k-means++,50,0.29489510283330467,1.421295677171708,174.27929579567012,10647.882839061243,1.0,0.0
2,0.95,k-means++,20,0.27968265600169057,1.6486494621663228,174.8020769762233,13255.594096075247,1.0,0.0
2,0.95,k-means++,50,0.27968265600169057,1.6486494621663228,174.8020769762233,13255.594096075247,1.0,0.0
3,0.95,k-means++,20,0.27799950475026614,1.4877537368037423,161.4250883825223,11506.824805509832,0.9983781108758933,0.0032437782482134915
3,0.95,k-means++,50,0.27799950475026614,1.4877537368037423,161.4250883825223,11506.824805509832,0.9983781108758933,0.0032437782482134915
2,None,k-means++,20,0.27012733490770485,1.695126879242999,166.56742980719756,13920.371084503557,1.0,0.0
2,None,k-means++,50,0.27012733490770485,1.695126879242999,166.56742980719756,13920.371084503557,1.0,0.0
3,None,k-means++,20,0.26771578427972925,1.5410042684114706,152.84673662818594,12167.783469290425,0.9997127124941072,0.0005745750117857274
3,None,k-means++,50,0.26771578427972925,1.5410042684114706,152.84673662818594,12167.783469290425,0.9991381374823215,0.0007037077989143314
4,0.9,k-means++,50,0.2627982039421151,1.464189910354568,174.20212180164756,9243.176325823539,0.9972328211998693,0.001383589400065377
4,0.9,k-means++,20,0.2627982039421151,1.464189910354568,174.20212180164756,9243.176325823539,0.996466932422355,0.0023065857235879837
4,0.95,k-means++,50,0.2460000518710652,1.5420120773654533,159.5145004732435,10101.96549778018,0.9972328211998691,0.001383589400065377
4,0.95,k-means++,20,0.24516881827202439,1.5351296873974336,159.51072868681013,10102.054902935946,0.9774466793958645,0.014711449881382921
4,None,k-means++,50,0.23674562310497926,1.5938033511669532,149.88850488714172,10762.235892605837,0.9972936816023801,0.0016903976065569383
4,None,k-means++,20,0.23636131545891856,1.5962709964615371,149.88099999727837,10762.429794532367,0.9904132333658499,0.014225465926473458
5,0.9,k-means++,50,0.20874643437757426,1.6167571335862934,151.0635669031244,8701.062075558066,0.9468737571712286,0.011164949318231018
5,0.9,k-means++,20,0.1998802121095411,1.6353756172468956,151.03990613338726,8701.64896196112,0.9595779714401804,0.02002552469746857
5,0.95,k-means++,20,0.18991491354097229,1.6806113152711393,137.6507567028538,9558.112518691214,0.9365418857722764,0.01728861547751972
5,0.95,k-means++,50,0.18701105549340802,1.6972055923163996,137.6672316107911,9557.645829355142,0.9552448659674229,0.021744163801976968
5,None,k-means++,50,0.17752788639132572,1.7656580003712974,129.02000027787918,10214.118951294387,0.9700769173901449,0.011257096831821214
